Colors,ASOS_US,ASOS_FR,ASOS_ES,ASOS_DE,ASOS_IT,ASOS_AU
Pink,0.04357858620335333,0.05655231262034427,0.045546536095462324,0.027725532418679665,0.04663214750018987,0.03319603104044461
Blue,0.038758114163431424,0.03255270576356903,0.020193265635261373,0.036776761661387526,0.06702421851615238,0.047668616001822754
Green,0.04357188489838588,0.02469207503674549,0.02225503379691472,0.035876553027426206,0.03171280887431479,0.031603354226513045
Black,0.03229805617480577,0.04696721274856257,0.03051997659010798,0.00727314965801007,0.04251307871352815,0.03584081273426645
White,0.01779419845691284,0.0276183115392004,0.025422517278197974,0.001994755111978806,0.020012330401140116,0.025829063112890183
